label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,major_axis_length,minor_axis_length,area_bbox,extent,area_filled,area_convex,euler_number,intensity_max-0,intensity_max-1,intensity_mean-0,intensity_mean-1,intensity_min-0,intensity_min-1,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,inertia_tensor_eigvals-2,solidity,well_area
75,78.13683116662779,999.9287001887473,3548.6205225542385,62,927,3473,94,1093,3617,188612,182.45047859488542,22.040488192213633,764928,0.24657484103078983,188687,354236,-114,5419.0,1881.0,493.90266791084343,252.83984051916102,138.0,139.0,2492.8356033209034,1688.698012962693,852.7159023333213,0.5324472950236565,18064950
76,99.12182061579652,4391.606693440428,2133.586345381526,97,4358,2091,101,4425,2181,7470,102.73291413523519,3.9014934573466844,24120,0.30970149253731344,7470,14706,-5,2454.0,193.0,782.4368139223561,146.1376171352075,387.0,105.0,704.0864965293401,528.4636648957662,177.14499675334582,0.5079559363525091,18064950
77,80.02559344841362,752.1631378650575,925.0136403776203,68,654,844,93,854,1021,190244,194.75128028023732,16.4384907664807,885000,0.21496497175141244,190365,368045,-79,3131.0,2741.0,425.7960408738252,318.40362902378,78.0,101.0,3189.619248501624,1909.9142574735613,1306.7273888960299,0.5169041829124156,18064950
78,44.18146984754529,1490.4557258523112,2119.9538709415365,36,1421,2033,55,1566,2197,73858,184.1842867539257,16.94165917317729,451820,0.16346775264485858,73860,229275,-95,8113.0,2520.0,563.4685206748084,312.56933575238975,103.0,115.0,2757.7159528373386,1710.5435651296216,1075.8743692617272,0.32213717151891835,18064950
79,65.54960696834502,3036.005523688124,3458.9441257701296,62,3007,3423,70,3065,3484,9414,62.295260309346695,6.97271012084601,28304,0.3326031656302996,9415,15703,-5,2426.0,250.0,841.1855746760144,166.20065859358402,355.0,127.0,372.97024014943645,196.46590717193072,181.36620162044056,0.5995032796280966,18064950
80,41.01316961253415,2997.2277550527538,1559.1586843972166,29,2921,1499,54,3079,1625,132502,163.86440939564838,18.12463662685041,497700,0.26622865179827204,132538,238183,-122,4361.0,2160.0,503.16355224826793,276.7569017826146,145.0,138.0,2083.4575985909364,1359.0023559720012,757.305487904472,0.5563033465864482,18064950
81,68.1454156978571,3551.0208006032803,2871.6906931439703,63,3521,2841,74,3587,2901,15913,63.80993405977982,9.473805168505043,43560,0.36531221303948574,15916,22101,1,178.0,1086.0,139.16282284924276,404.4104819958524,104.0,230.0,362.2423963247329,208.0730334542121,163.1446613076001,0.7200126691099951,18064950
82,37.77167252732592,3041.222171398077,2226.7831651371775,29,2965,2157,50,3126,2327,104937,202.37805636566853,15.703731625901497,574770,0.182572159298502,104951,239297,-59,5591.0,2112.0,514.8496431192049,297.50589401259805,95.0,120.0,2704.480657826257,2060.174244266202,668.9671322578887,0.4385220040368245,18064950
83,49.31934544724425,2575.3011745808653,973.2960546129907,45,2542,932,54,2605,1018,9961,96.19923039637999,8.361377186687017,48762,0.2042779213321849,9961,25769,-6,1264.0,319.0,642.4726433089047,156.08151791988757,336.0,92.0,638.6958727770785,466.21022786569245,179.4769077571911,0.3865497302960922,18064950
84,71.52570519717453,668.2864761191935,1862.6620667072086,65,626,1828,79,706,1899,21377,98.43556259919701,10.827641646024382,79520,0.26882545271629776,21377,36695,-2,7875.0,2727.0,1098.0562286569677,345.73073864433735,138.0,150.0,655.6668787651445,490.3398903917577,177.05077073485893,0.5825589317345687,18064950
85,65.49383378016086,3185.6407506702412,1292.4742627345845,62,3168,1273,70,3203,1310,3730,35.513208883279965,6.79354917802328,10360,0.36003861003861004,3730,5134,-2,267.0,1147.0,164.3970509383378,443.4764075067024,123.0,241.0,113.5414443435938,65.36701578108477,52.7896596059311,0.7265290222049084,18064950
